"Scope","Rule","Severity","Count","ExampleFile","ExampleLine","ExampleMessage"
"Vendor/generated/other","RedundantBaseQualifier","warning","64","Assets/FishNet/Runtime/Managing/Client/Object/ClientObjects.cs","115","Qualifier 'base.' is redundant"
"Vendor/generated/other","RedundantBoolCompare","warning","8","Assets/FishNet/Runtime/Generated/Component/TickSmoothing/Editor/MovementSettingsDrawer.cs","32","Comparison with true is redundant"
"Vendor/generated/other","RedundantCaseLabel","warning","1","Assets/FishNet/CodeGenerating/cecil-0.11.4/Mono.Cecil/ModuleDefinition.cs","1184","Redundant 'case' label"
"Vendor/generated/other","RedundantCast","warning","103","Assets/FishNet/CodeGenerating/Helpers/Extension/Diagnostics.cs","15","Type cast is redundant"
"First-party","RedundantCast","warning","3","Assets/Game/Runtime/Diagnostics/AILogger.cs","138","Type cast is redundant"
"Vendor/generated/other","RedundantDefaultMemberInitializer","warning","108","Assets/FishNet/CodeGenerating/cecil-0.11.4/Mono.Cecil/MethodReferenceComparer.cs","10","Initializing field by default value is redundant"
"First-party","RedundantDefaultMemberInitializer","warning","1","Assets/Game/Runtime/Diagnostics/Log.cs","8","Initializing field by default value is redundant"
"Vendor/generated/other","RedundantEmptyFinallyBlock","warning","2","Assets/FishNet/Runtime/Editor/BuildIdentifier.cs","34","Redundant empty 'finally' block"
"Vendor/generated/other","RedundantExplicitArrayCreation","warning","71","Assets/FishNet/CodeGenerating/Helpers/Extension/MethodReferenceExtensions.cs","52","Redundant explicit array type specification"
"Vendor/generated/other","RedundantExplicitArraySize","warning","1","Assets/Plugins/FishySteamworks/FishySteamworks.cs","116","Redundant explicit array size specification"
"Vendor/generated/other","RedundantExplicitParamsArrayCreation","note","16","Assets/FishNet/CodeGenerating/Helpers/GeneralHelper.cs","158","Redundant explicit collection creation in argument of 'params' parameter"
"Vendor/generated/other","RedundantExtendsListEntry","warning","39","Assets/FishNet/CodeGenerating/cecil-0.11.4/Mono.Collections.Generic/Collection.cs","340","Base interface 'IDisposable' is redundant because MonoFN.Collections.Generic.Collection<T>.Enumerator implements 'IEnumerator<T>'"
"Vendor/generated/other","RedundantJumpStatement","warning","5","Assets/FishNet/CodeGenerating/Helpers/GeneralHelper.cs","1160","Redundant control flow jump statement"
"Vendor/generated/other","RedundantLambdaParameterType","warning","18","Assets/_3rdParty/LeanTween/Examples/Scripts/GeneralAdvancedTechniques.cs","35","Redundant lambda parameter explicit type specification"
"Vendor/generated/other","RedundantNameQualifier","warning","42","Assets/FishNet/CodeGenerating/Helpers/Typed/GeneratorHelper.cs","111","Qualifier is redundant"
"First-party","RedundantNameQualifier","warning","6","Assets/Game/Runtime/Items/ItemPlayerContact.cs","221","Qualifier is redundant"
"Vendor/generated/other","RedundantOverriddenMember","warning","1","Assets/FishNet/Runtime/Transporting/Transports/Synapse/Synapse.cs","84","Redundant method override"
"Vendor/generated/other","RedundantStringFormatCall","warning","1","Assets/FishNet/CodeGenerating/cecil-0.11.4/Mono.Cecil.Cil/Symbols.cs","969","Redundant 'String.Format()' call"
"Vendor/generated/other","RedundantStringInterpolation","note","127","Assets/FishNet/CodeGenerating/Helpers/GeneralHelper.cs","826","Redundant string interpolation"
