"Scope","Rule","Severity","Category","File","Line","Message","Title","Impact"
"Vendor/generated/other","PAC2004","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/ReliableChannel.cs","76","'PendingPacket' array allocation","Array Allocation","Memory"
"Vendor/generated/other","PAC2004","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/ReliableChannel.cs","83","'NetPacket' array allocation","Array Allocation","Memory"
"Vendor/generated/other","PAC2004","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/ReliableChannel.cs","88","'Boolean' array allocation","Array Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/ReliableChannel.cs","95","'LiteNetLib.NetPacket' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/SequencedChannel.cs","21","'LiteNetLib.NetPacket' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2004","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/Utils/NetDataReader.cs","204","'T' array allocation","Array Allocation","Memory"
"Vendor/generated/other","PAC2004","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/Utils/NetDataReader.cs","215","'T' array allocation","Array Allocation","Memory"
"Vendor/generated/other","PAC2004","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/Utils/NetDataReader.cs","273","'String' array allocation","Array Allocation","Memory"
"Vendor/generated/other","PAC2004","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/Utils/NetDataReader.cs","288","'String' array allocation","Array Allocation","Memory"
"Vendor/generated/other","PAC2004","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/Utils/NetDataReader.cs","441","'Byte' array allocation","Array Allocation","Memory"
"Vendor/generated/other","PAC2004","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/Utils/NetDataReader.cs","725","'String' array allocation","Array Allocation","Memory"
"Vendor/generated/other","PAC2004","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/Utils/NetDataWriter.cs","29","'Byte' array allocation","Array Allocation","Memory"
"Vendor/generated/other","PAC2004","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/Utils/NetDataWriter.cs","35","'Byte' array allocation","Array Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/Utils/NetDataWriter.cs","48","'LiteNetLib.Utils.NetDataWriter' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/Utils/NetDataWriter.cs","52","'LiteNetLib.Utils.NetDataWriter' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/Utils/NetDataWriter.cs","63","'LiteNetLib.Utils.NetDataWriter' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/Utils/NetDataWriter.cs","70","'LiteNetLib.Utils.NetDataWriter' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2004","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/Utils/NetDataWriter.cs","104","'Byte' array allocation","Array Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/Utils/NetDataWriter.cs","27","'System.Func`1<System.Text.UTF8Encoding>' allocation","Object Allocation","Memory"
"Vendor/generated/other","PAC2002","Info","Code","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/Utils/NetDataWriter.cs","27","'System.Threading.ThreadLocal`1<System.Text.UTF8Encoding>' allocation","Object Allocation","Memory"
